Date,Index Code,Index Name,Index Name(Eng.),Constituent Code,Constituent Name,Constituent Name(Eng.),Exchange,(%)Weight(%)
2017-11-30,000300,沪深300,CSI 300,600871,石化油服,Sinopec Oilfield Service Corporation,SHH,0.05
2017-11-30,000300,沪深300,CSI 300,600886,国投电力,"SDIC Power Holdings Co.,Ltd.",SHH,0.27
2017-11-30,000300,沪深300,CSI 300,600887,伊利股份,Inner Mongolia Yili Industrial Group Co Ltd,SHH,1.53
2017-11-30,000300,沪深300,CSI 300,600893,航发动力,AVIC AVIATION ENGINE CORPORATION PLC.,SHH,0.22
2017-11-30,000300,沪深300,CSI 300,600895,张江高科,Shanghai Zhangjiang Hi-tech Park Development Co Ltd,SHH,0.11
2017-11-30,000300,沪深300,CSI 300,600900,长江电力,China Yangtze Power Co Ltd,SHH,0.96
2017-11-30,000300,沪深300,CSI 300,600909,华安证券,"HUAAN SECURITIES CO., LTD.",SHH,0.08
2017-11-30,000300,沪深300,CSI 300,600919,江苏银行,"Bank of Jiangsu Co., Ltd",SHH,0.09
2017-11-30,000300,沪深300,CSI 300,600926,杭州银行,"BANK OF HANGZHOU CO., LTD",SHH,0.04
2017-11-30,000300,沪深300,CSI 300,600958,东方证券,ORIENT SECURITIES COMPANY LIMITED,SHH,0.43
2017-11-30,000300,沪深300,CSI 300,600959,江苏有线,Jiangsu Broadcasting Cable Information Network Corporation Limited,SHH,0.12
2017-11-30,000300,沪深300,CSI 300,600977,中国电影,"CHINA FILM CO., LTD.",SHH,0.07
2017-11-30,000300,沪深300,CSI 300,600999,招商证券,China Merchants Securities Co Ltd,SHH,0.39
2017-11-30,000300,沪深300,CSI 300,601006,大秦铁路,Daqin Railway Co Ltd,SHH,0.46
2017-11-30,000300,沪深300,CSI 300,601009,南京银行,Bank of Nanjing Co Ltd,SHH,0.37
2017-11-30,000300,沪深300,CSI 300,601018,宁波港,Ningbo Port Co Ltd,SHH,0.2
2017-11-30,000300,沪深300,CSI 300,601021,春秋航空,"Spring Airlines Co., Ltd.",SHH,0.08
2017-11-30,000300,沪深300,CSI 300,601088,中国神华,China Shenhua Energy Co Ltd,SHH,0.41
2017-11-30,000300,沪深300,CSI 300,601099,太平洋,The Pacific Securities Co.Ltd,SHH,0.23
2017-11-30,000300,沪深300,CSI 300,601111,中国国航,Air China Ltd,SHH,0.2
2017-11-30,000300,沪深300,CSI 300,601117,中国化学,China National Chemical Engineering Co Ltd,SHH,0.11
2017-11-30,000300,沪深300,CSI 300,601118,海南橡胶,China Hainan Rubber Industry Group Co Ltd,SHH,0.08
2017-11-30,000300,沪深300,CSI 300,601127,小康股份,"Chongqing Sokon Industry Group Co.,Ltd",SHH,0.03
2017-11-30,000300,沪深300,CSI 300,601155,新城控股,"Future Land Holdings Co., Ltd.",SHH,0.2
2017-11-30,000300,沪深300,CSI 300,601163,三角轮胎,"TRIANGLE TYRE CO., LTD.",SHH,0.05
2017-11-30,000300,沪深300,CSI 300,601166,兴业银行,Industrial Bank,SHH,1.92
2017-11-30,000300,沪深300,CSI 300,601169,北京银行,Bank of Beijing Co Ltd,SHH,0.95
2017-11-30,000300,沪深300,CSI 300,601186,中国铁建,China Railway Construction Co Ltd,SHH,0.48
2017-11-30,000300,沪深300,CSI 300,601198,东兴证券,"DONGXING SECURITIES CO., LTD.",SHH,0.16
2017-11-30,000300,沪深300,CSI 300,601211,国泰君安,"Guotai Junan Securities Co., Ltd.",SHH,0.8
2017-11-30,000300,沪深300,CSI 300,601216,君正集团,"Inner Mongolia Junzheng Energy & Chemical Group Co.,Ltd.",SHH,0.15
2017-11-30,000300,沪深300,CSI 300,601225,陕西煤业,Shaanxi Coal Industry Company Limited,SHH,0.23
2017-11-30,000300,沪深300,CSI 300,601229,上海银行,"Bank of Shanghai Co., Ltd.",SHH,0.11
2017-11-30,000300,沪深300,CSI 300,601288,农业银行,Agricultural Bank of China Co Ltd,SHH,1.26
2017-11-30,000300,沪深300,CSI 300,601318,中国平安,Ping An Insurance (Group) Company of China Ltd,SHH,6.66
